Nama Produk;Nama Motor;Merk Motor;Warna Motor;Tahun Pembuatan;Provinsi;Harga;Kapasitas Mesin;Rentang Harga;;;;;;;;;;;;;;;;
JUAL CEPAT HONDA VARIO 2106;vario;honda;merah;2016;jakarta;11.500.000,00;125;<15jt;;;;;;;;;;;;;;;;
Scoopy stylish Fi iss 2019;scoopy;honda;hitam;2019;yogyakarta;7.450.000,00;108;<15jt;;;;;;;;;;;;;;;;
JUAL CEPAT YAMAHA VIXION 2015 NEGO;vixion;yamaha;hitam;2014;jawa barat;12.500.000,00;150;<15jt;;;;;;;;;;;;;;;;
Ninja fi 250 tahun 2014;ninja;kawasaki;putih;2014;jawa barat;33.000.000,00;250;30-45jt;;;;;;;;;;;;;;;;
Honda beat tahun 2018;beat;honda;biru;2018;banten;6.500.000,00;110;<15jt;;;;;;;;;;;;;;;;
JUAL SUPRA X 125 HELM IN;supra x;honda;hitam;2012;jawa timur;7.500.000,00;125;<15jt;;;;;;;;;;;;;;;;
SupraX 125 Fi, Helm-in, Sehat, Segar, Kondisi Prima;supra;honda;hitam;2015;jakarta;8.200.000,00;125;<15jt;;;;;;;;;;;;;;;;
JUAL TIGER 2000 SURAT-SURAT LENGKAP;tiger revo;honda;hitam;2004;jawa barat;10.000.000,00;250;<15jt;;;;;;;;;;;;;;;;
Patagonian Eagle 250 Efi th 2020;patagonian eagle;benelli;coklat;2020;banten;60.000.000,00;250;45-60jt;;;;;;;;;;;;;;;;
Motor Yamaha R15V3;r15;yamaha;hitam;2017;jawa timur;20.000.000,00;150;15-30jt;;;;;;;;;;;;;;;;
Ninja 250fi 2014;ninja;kawasaki;merah;2014;jawa barat;33.000.000,00;250;30-45jt;;;;;;;;;;;;;;;;
Di jual motor Vixion tahun 2017;vixion;yamaha;silver;2017;jawa timur;14.500.000,00;155;<15jt;;;;;;;;;;;;;;;;
